date,region,value
2021-01,전국,377003
2021-01,서울,75765
2021-01,부산,40147
2021-01,대구,19904
2021-01,인천,23994
2021-01,광주,3262
2021-01,대전,9333
2021-01,울산,10741
2021-01,세종,4903
2021-01,경기,98908
2021-01,강원,9561
2021-01,충북,11061
2021-01,충남,16312
2021-01,전북,8504
2021-01,전남,4407
2021-01,경북,14469
2021-01,경남,24619
2021-01,제주,1113
2021-02,전국,386644
2021-02,서울,78437
2021-02,부산,41183
2021-02,대구,22602
2021-02,인천,22695
2021-02,광주,3677
2021-02,대전,9316
2021-02,울산,11491
2021-02,세종,5215
2021-02,경기,100897
2021-02,강원,9687
2021-02,충북,10986
2021-02,충남,16769
2021-02,전북,8474
2021-02,전남,4381
2021-02,경북,14799
2021-02,경남,24999
2021-02,제주,1036
2021-03,전국,421404
2021-03,서울,87031
2021-03,부산,44354
2021-03,대구,25789
2021-03,인천,22808
2021-03,광주,4001
2021-03,대전,9868
2021-03,울산,12878
2021-03,세종,5720
2021-03,경기,110843
2021-03,강원,10838
2021-03,충북,11843
2021-03,충남,17540
2021-03,전북,9258
2021-03,전남,4983
2021-03,경북,15948
2021-03,경남,26467
2021-03,제주,1235
2021-04,전국,417945
2021-04,서울,87203
2021-04,부산,43350
2021-04,대구,26524
2021-04,인천,21768
2021-04,광주,3902
2021-04,대전,9627
2021-04,울산,13111
2021-04,세종,5660
2021-04,경기,111106
2021-04,강원,10580
2021-04,충북,11053
2021-04,충남,17479
2021-04,전북,9172
2021-04,전남,5031
2021-04,경북,15231
2021-04,경남,26019
2021-04,제주,1129
2021-05,전국,391280
2021-05,서울,82332
2021-05,부산,40530
2021-05,대구,26115
2021-05,인천,19736
2021-05,광주,3473
2021-05,대전,8878
2021-05,울산,12444
2021-05,세종,5533
2021-05,경기,103997
2021-05,강원,9939
2021-05,충북,9940
2021-05,충남,16358
2021-05,전북,8094
2021-05,전남,4760
2021-05,경북,13900
2021-05,경남,24197
2021-05,제주,1054
2021-06,전국,382376
2021-06,서울,80468
2021-06,부산,39013
2021-06,대구,26776
2021-06,인천,19509
2021-06,광주,3463
2021-06,대전,8901
2021-06,울산,12134
2021-06,세종,5740
2021-06,경기,99736
2021-06,강원,9826
2021-06,충북,9498
2021-06,충남,15670
2021-06,전북,8057
2021-06,전남,5000
2021-06,경북,13582
2021-06,경남,23936
2021-06,제주,1067
2021-07,전국,357991
2021-07,서울,75668
2021-07,부산,36654
2021-07,대구,27100
2021-07,인천,18004
2021-07,광주,3083
2021-07,대전,8707
2021-07,울산,11376
2021-07,세종,5821
2021-07,경기,90979
2021-07,강원,8885
2021-07,충북,9044
2021-07,충남,14469
2021-07,전북,7652
2021-07,전남,4735
2021-07,경북,12700
2021-07,경남,22073
2021-07,제주,1041
2021-08,전국,354020
2021-08,서울,75273
2021-08,부산,35488
2021-08,대구,28511
2021-08,인천,17745
2021-08,광주,2762
2021-08,대전,9643
2021-08,울산,11238
2021-08,세종,5998
2021-08,경기,89308
2021-08,강원,8628
2021-08,충북,8837
2021-08,충남,14224
2021-08,전북,7351
2021-08,전남,4875
2021-08,경북,12224
2021-08,경남,20944
2021-08,제주,971
2021-09,전국,370919
2021-09,서울,78280
2021-09,부산,36739
2021-09,대구,29903
2021-09,인천,18705
2021-09,광주,2581
2021-09,대전,10964
2021-09,울산,11427
2021-09,세종,6404
2021-09,경기,95845
2021-09,강원,8656
2021-09,충북,8827
2021-09,충남,14587
2021-09,전북,7529
2021-09,전남,5425
2021-09,경북,12269
2021-09,경남,21743
2021-09,제주,1035
2021-10,전국,423008
2021-10,서울,89581
2021-10,부산,40918
2021-10,대구,32685
2021-10,인천,22330
2021-10,광주,2773
